Timestamp/DeltaT,Message,Signal,Value
0 ms,RadarObj7,RelAccX7,-29.2
1 ms,RadarObj8,RelPosX8,4575.6
1 ms,RadarObj8,RelPosY8,-547.5999999999999
1 ms,RadarObj8,RelVelX8,6448.400000000001
1 ms,RadarObj8,RelAccX8,-31.4
0 ms,RadarObj9,RelPosX9,5054.700000000001
0 ms,RadarObj9,RelPosY9,-128.0999999999999
0 ms,RadarObj9,RelVelX9,-26.39999999999999
0 ms,RadarObj9,RelAccX9,6474.0
0 ms,RadarObj10,RelPosX10,5416.0
0 ms,RadarObj10,RelPosY10,5302.5
0 ms,RadarObj10,RelVelX10,-44.699999999999996
0 ms,RadarObj10,RelAccX10,-1.5999999999999943
100 ms,VehicleStatus,VehicleSpeed,166.01
100 ms,VehicleStatus,SteeringAngle,-4523.2
0 ms,VehicleAccel,LateralAccel,2.4290000000000003
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,5005.200000000001
0 ms,RadarObj1,RelPosY1,5376.5
0 ms,RadarObj1,RelVelX1,-8.5
0 ms,RadarObj1,RelAccX1,-36.8
0 ms,RadarObj2,RelPosX2,-348.69999999999993
0 ms,RadarObj2,RelPosY2,5014.6
0 ms,RadarObj2,RelVelX2,-36.4
0 ms,RadarObj2,RelAccX2,-14.699999999999996
0 ms,RadarObj3,RelPosX3,5475.0
0 ms,RadarObj3,RelPosY3,-419.0
0 ms,RadarObj3,RelVelX3,6379.700000000001
0 ms,RadarObj3,RelAccX3,6469.5
0 ms,RadarObj4,RelPosX4,5320.900000000001
0 ms,RadarObj4,RelPosY4,-70.89999999999998
0 ms,RadarObj4,RelVelX4,-44.099999999999994
0 ms,RadarObj4,RelAccX4,-14.5
0 ms,RadarObj5,RelPosX5,5467.400000000001
0 ms,RadarObj5,RelPosY5,-315.0
0 ms,RadarObj5,RelVelX5,-77.0
0 ms,RadarObj5,RelAccX5,-22.5
0 ms,RadarObj6,RelPosX6,-102.39999999999998
0 ms,RadarObj6,RelPosY6,-428.6
0 ms,RadarObj6,RelVelX6,6389.8
0 ms,RadarObj6,RelAccX6,-5.899999999999999
0 ms,RadarObj7,RelPosX7,-414.1
0 ms,RadarObj7,RelPosY7,-699.0999999999999
0 ms,RadarObj7,RelVelX7,6431.700000000001
0 ms,RadarObj7,RelAccX7,6502.3
0 ms,RadarObj8,RelPosX8,5137.5
0 ms,RadarObj8,RelPosY8,5245.6
0 ms,RadarObj8,RelVelX8,6444.1
0 ms,RadarObj8,RelAccX8,-19.5
0 ms,RadarObj9,RelPosX9,4808.200000000001
0 ms,RadarObj9,RelPosY9,-630.3
0 ms,RadarObj9,RelVelX9,6366.1
0 ms,RadarObj9,RelAccX9,6480.900000000001
0 ms,RadarObj10,RelPosX10,-733.4
0 ms,RadarObj10,RelPosY10,5067.900000000001
0 ms,RadarObj10,RelVelX10,-53.9
0 ms,RadarObj10,RelAccX10,-40.0
102 ms,VehicleStatus,VehicleSpeed,239.72
102 ms,VehicleStatus,SteeringAngle,-4523.299999999999
0 ms,VehicleAccel,LateralAccel,0.10300000000000001
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-286.0999999999999
0 ms,RadarObj1,RelPosY1,-151.89999999999998
0 ms,RadarObj1,RelVelX1,-85.4
0 ms,RadarObj1,RelAccX1,6477.8
1 ms,RadarObj2,RelPosX2,4865.8
1 ms,RadarObj2,RelPosY2,-944.8
1 ms,RadarObj2,RelVelX2,6373.8
1 ms,RadarObj2,RelAccX2,-43.5
0 ms,RadarObj3,RelPosX3,4797.200000000001
0 ms,RadarObj3,RelPosY3,5108.700000000001
0 ms,RadarObj3,RelVelX3,-7.3999999999999915
0 ms,RadarObj3,RelAccX3,-17.199999999999996
0 ms,RadarObj4,RelPosX4,5084.3
0 ms,RadarObj4,RelPosY4,-254.29999999999995
0 ms,RadarObj4,RelVelX4,6356.1
0 ms,RadarObj4,RelAccX4,6489.200000000001
0 ms,RadarObj5,RelPosX5,4627.0
0 ms,RadarObj5,RelPosY5,-339.5
0 ms,RadarObj5,RelVelX5,6354.3
0 ms,RadarObj5,RelAccX5,-29.299999999999997
0 ms,RadarObj6,RelPosX6,5095.700000000001
0 ms,RadarObj6,RelPosY6,-48.09999999999991
0 ms,RadarObj6,RelVelX6,-6.099999999999994
0 ms,RadarObj6,RelAccX6,-9.399999999999999
0 ms,RadarObj7,RelPosX7,5278.0
0 ms,RadarObj7,RelPosY7,-674.2
0 ms,RadarObj7,RelVelX7,6417.6
0 ms,RadarObj7,RelAccX7,-30.099999999999998
0 ms,RadarObj8,RelPosX8,5397.900000000001
0 ms,RadarObj8,RelPosY8,5062.900000000001
0 ms,RadarObj8,RelVelX8,-93.1
0 ms,RadarObj8,RelAccX8,6479.8
0 ms,RadarObj9,RelPosX9,-341.29999999999995
0 ms,RadarObj9,RelPosY9,-903.4
0 ms,RadarObj9,RelVelX9,-44.8
0 ms,RadarObj9,RelAccX9,-23.7
0 ms,RadarObj10,RelPosX10,5514.900000000001
0 ms,RadarObj10,RelPosY10,-360.29999999999995
0 ms,RadarObj10,RelVelX10,-18.89999999999999
0 ms,RadarObj10,RelAccX10,-14.899999999999999
100 ms,VehicleStatus,VehicleSpeed,54.46
100 ms,VehicleStatus,SteeringAngle,-4523.299999999999
1 ms,VehicleAccel,LateralAccel,4.448
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,5431.900000000001
0 ms,RadarObj1,RelPosY1,4808.8
0 ms,RadarObj1,RelVelX1,-66.6
0 ms,RadarObj1,RelAccX1,-8.699999999999996
0 ms,RadarObj2,RelPosX2,-695.0
0 ms,RadarObj2,RelPosY2,4982.8
0 ms,RadarObj2,RelVelX2,6423.5
0 ms,RadarObj2,RelAccX2,-25.2
0 ms,RadarObj3,RelPosX3,-987.3
0 ms,RadarObj3,RelPosY3,-367.0999999999999
0 ms,RadarObj3,RelVelX3,6406.8
0 ms,RadarObj3,RelAccX3,-31.9
0 ms,RadarObj4,RelPosX4,4906.8
0 ms,RadarObj4,RelPosY4,-593.5
0 ms,RadarObj4,RelVelX4,6445.700000000001
0 ms,RadarObj4,RelAccX4,-20.299999999999997
0 ms,RadarObj5,RelPosX5,-538.8
0 ms,RadarObj5,RelPosY5,4850.400000000001
0 ms,RadarObj5,RelVelX5,6441.8
0 ms,RadarObj5,RelAccX5,-3.299999999999997
0 ms,RadarObj6,RelPosX6,4839.5
0 ms,RadarObj6,RelPosY6,-188.0999999999999
0 ms,RadarObj6,RelVelX6,-33.89999999999999
0 ms,RadarObj6,RelAccX6,6463.0
0 ms,RadarObj7,RelPosX7,-466.4
0 ms,RadarObj7,RelPosY7,-421.29999999999995
0 ms,RadarObj7,RelVelX7,-97.3
0 ms,RadarObj7,RelAccX7,-3.0
1 ms,RadarObj8,RelPosX8,4557.900000000001
1 ms,RadarObj8,RelPosY8,-55.89999999999998
1 ms,RadarObj8,RelVelX8,-80.1
1 ms,RadarObj8,RelAccX8,6458.200000000001
0 ms,RadarObj9,RelPosX9,-824.8
0 ms,RadarObj9,RelPosY9,-989.1
0 ms,RadarObj9,RelVelX9,-96.2
0 ms,RadarObj9,RelAccX9,-46.4
0 ms,RadarObj10,RelPosX10,-410.1
0 ms,RadarObj10,RelPosY10,5167.900000000001
0 ms,RadarObj10,RelVelX10,-76.7
0 ms,RadarObj10,RelAccX10,6495.900000000001
99 ms,VehicleStatus,VehicleSpeed,169.53
99 ms,VehicleStatus,SteeringAngle,-5231.1
0 ms,VehicleAccel,LateralAccel,6.484
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,4727.0
0 ms,RadarObj1,RelPosY1,-377.69999999999993
0 ms,RadarObj1,RelVelX1,-28.89999999999999
0 ms,RadarObj1,RelAccX1,-12.299999999999997
0 ms,RadarObj2,RelPosX2,4743.0
0 ms,RadarObj2,RelPosY2,-305.29999999999995
0 ms,RadarObj2,RelVelX2,-1.5999999999999943
0 ms,RadarObj2,RelAccX2,-43.3
0 ms,RadarObj3,RelPosX3,5225.5
0 ms,RadarObj3,RelPosY3,4945.6
0 ms,RadarObj3,RelVelX3,-67.3
0 ms,RadarObj3,RelAccX3,-10.299999999999997
0 ms,RadarObj4,RelPosX4,-432.9
0 ms,RadarObj4,RelPosY4,5299.400000000001
0 ms,RadarObj4,RelVelX4,6382.5
0 ms,RadarObj4,RelAccX4,6471.8
0 ms,RadarObj5,RelPosX5,-743.7
0 ms,RadarObj5,RelPosY5,5481.700000000001
0 ms,RadarObj5,RelVelX5,-99.5
0 ms,RadarObj5,RelAccX5,-18.0
0 ms,RadarObj6,RelPosX6,4665.900000000001
0 ms,RadarObj6,RelPosY6,-327.9
0 ms,RadarObj6,RelVelX6,-80.2
0 ms,RadarObj6,RelAccX6,-5.5
0 ms,RadarObj7,RelPosX7,4690.0
0 ms,RadarObj7,RelPosY7,-63.69999999999993
0 ms,RadarObj7,RelVelX7,-80.3
0 ms,RadarObj7,RelAccX7,6479.5
0 ms,RadarObj8,RelPosX8,-854.9
0 ms,RadarObj8,RelPosY8,-411.1
0 ms,RadarObj8,RelVelX8,6375.5
0 ms,RadarObj8,RelAccX8,-25.5
1 ms,RadarObj9,RelPosX9,-975.7
1 ms,RadarObj9,RelPosY9,-833.2
1 ms,RadarObj9,RelVelX9,-20.19999999999999
1 ms,RadarObj9,RelAccX9,6484.6
0 ms,RadarObj10,RelPosX10,4610.700000000001
0 ms,RadarObj10,RelPosY10,-747.2
0 ms,RadarObj10,RelVelX10,-3.0
0 ms,RadarObj10,RelAccX10,-20.2
101 ms,VehicleStatus,VehicleSpeed,222.37
101 ms,VehicleStatus,SteeringAngle,-4523.299999999999
0 ms,VehicleAccel,LateralAccel,4.389
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-672.5
0 ms,RadarObj1,RelPosY1,4982.3
0 ms,RadarObj1,RelVelX1,6358.8
0 ms,RadarObj1,RelAccX1,6484.1
0 ms,RadarObj2,RelPosX2,4717.3
0 ms,RadarObj2,RelPosY2,5031.200000000001
0 ms,RadarObj2,RelVelX2,-36.199999999999996
0 ms,RadarObj2,RelAccX2,6476.0
0 ms,RadarObj3,RelPosX3,-845.2
0 ms,RadarObj3,RelPosY3,4948.5
0 ms,RadarObj3,RelVelX3,-93.4
0 ms,RadarObj3,RelAccX3,-10.399999999999999
1 ms,RadarObj4,RelPosX4,-950.4
1 ms,RadarObj4,RelPosY4,4850.5
1 ms,RadarObj4,RelVelX4,-65.9
1 ms,RadarObj4,RelAccX4,6478.8
0 ms,RadarObj5,RelPosX5,-330.19999999999993
0 ms,RadarObj5,RelPosY5,-546.4
0 ms,RadarObj5,RelVelX5,6407.0
0 ms,RadarObj5,RelAccX5,-25.0
0 ms,RadarObj6,RelPosX6,5123.0
0 ms,RadarObj6,RelPosY6,-87.89999999999998
0 ms,RadarObj6,RelVelX6,-96.6
0 ms,RadarObj6,RelAccX6,-29.0
0 ms,RadarObj7,RelPosX7,5323.700000000001
0 ms,RadarObj7,RelPosY7,5225.8
0 ms,RadarObj7,RelVelX7,-96.1
0 ms,RadarObj7,RelAccX7,-9.599999999999994
0 ms,RadarObj8,RelPosX8,5469.8
0 ms,RadarObj8,RelPosY8,-635.9
0 ms,RadarObj8,RelVelX8,-26.700000000000003
0 ms,RadarObj8,RelAccX8,-43.7
0 ms,RadarObj9,RelPosX9,4748.5
0 ms,RadarObj9,RelPosY9,-329.5999999999999
0 ms,RadarObj9,RelVelX9,-29.39999999999999
0 ms,RadarObj9,RelAccX9,6469.1
0 ms,RadarObj10,RelPosX10,-153.79999999999995
0 ms,RadarObj10,RelPosY10,-454.4
0 ms,RadarObj10,RelVelX10,-98.0
0 ms,RadarObj10,RelAccX10,-43.8
100 ms,VehicleStatus,VehicleSpeed,54.24
100 ms,VehicleStatus,SteeringAngle,-4523.2
0 ms,VehicleAccel,LateralAccel,64.235
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-42.69999999999993
0 ms,RadarObj1,RelPosY1,-50.799999999999955
0 ms,RadarObj1,RelVelX1,-77.1
0 ms,RadarObj1,RelAccX1,-1.6999999999999957
0 ms,RadarObj2,RelPosX2,5169.6
0 ms,RadarObj2,RelPosY2,4957.0
0 ms,RadarObj2,RelVelX2,-27.700000000000003
0 ms,RadarObj2,RelAccX2,-8.699999999999996
0 ms,RadarObj3,RelPosX3,4985.8
0 ms,RadarObj3,RelPosY3,-284.0
0 ms,RadarObj3,RelVelX3,-85.0
0 ms,RadarObj3,RelAccX3,6476.1
0 ms,RadarObj4,RelPosX4,4829.3
0 ms,RadarObj4,RelPosY4,4752.5
0 ms,RadarObj4,RelVelX4,-37.199999999999996
0 ms,RadarObj4,RelAccX4,6466.900000000001
0 ms,RadarObj5,RelPosX5,5448.0
0 ms,RadarObj5,RelPosY5,-356.5999999999999
0 ms,RadarObj5,RelVelX5,6438.200000000001
0 ms,RadarObj5,RelAccX5,6496.200000000001
0 ms,RadarObj6,RelPosX6,5406.3
0 ms,RadarObj6,RelPosY6,-489.09999999999997
0 ms,RadarObj6,RelVelX6,6407.3
0 ms,RadarObj6,RelAccX6,-22.599999999999998
0 ms,RadarObj7,RelPosX7,5300.700000000001
0 ms,RadarObj7,RelPosY7,5210.1
0 ms,RadarObj7,RelVelX7,-29.799999999999997
0 ms,RadarObj7,RelAccX7,-37.3
1 ms,RadarObj8,RelPosX8,5500.3
1 ms,RadarObj8,RelPosY8,-450.6
1 ms,RadarObj8,RelVelX8,6354.6
1 ms,RadarObj8,RelAccX8,-40.1
0 ms,RadarObj9,RelPosX9,-671.3
0 ms,RadarObj9,RelPosY9,5108.0
0 ms,RadarObj9,RelVelX9,-72.9
0 ms,RadarObj9,RelAccX9,-38.4
0 ms,RadarObj10,RelPosX10,5368.1
0 ms,RadarObj10,RelPosY10,-113.09999999999991
0 ms,RadarObj10,RelVelX10,6364.8
0 ms,RadarObj10,RelAccX10,-7.199999999999996
104 ms,VehicleStatus,VehicleSpeed,89.57000000000001
104 ms,VehicleStatus,SteeringAngle,-7263.7
1 ms,VehicleAccel,LateralAccel,7.784
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,-402.1
0 ms,RadarObj1,RelPosY1,-682.4
0 ms,RadarObj1,RelVelX1,6360.200000000001
0 ms,RadarObj1,RelAccX1,6478.8
0 ms,RadarObj2,RelPosX2,5429.900000000001
0 ms,RadarObj2,RelPosY2,4757.8
0 ms,RadarObj2,RelVelX2,-55.4
0 ms,RadarObj2,RelAccX2,-6.799999999999997
0 ms,RadarObj3,RelPosX3,-104.5
0 ms,RadarObj3,RelPosY3,5305.1
0 ms,RadarObj3,RelVelX3,-60.9
0 ms,RadarObj3,RelAccX3,6499.6
0 ms,RadarObj4,RelPosX4,4858.400000000001
0 ms,RadarObj4,RelPosY4,5148.8
0 ms,RadarObj4,RelVelX4,6436.1
0 ms,RadarObj4,RelAccX4,-35.0
0 ms,RadarObj5,RelPosX5,-827.0
0 ms,RadarObj5,RelPosY5,5207.400000000001
0 ms,RadarObj5,RelVelX5,-6.199999999999989
0 ms,RadarObj5,RelAccX5,-14.399999999999999
0 ms,RadarObj6,RelPosX6,-244.89999999999998
0 ms,RadarObj6,RelPosY6,5405.6
0 ms,RadarObj6,RelVelX6,-90.1
0 ms,RadarObj6,RelAccX6,-1.0999999999999943
0 ms,RadarObj7,RelPosX7,-994.5
0 ms,RadarObj7,RelPosY7,5516.0
0 ms,RadarObj7,RelVelX7,6387.0
0 ms,RadarObj7,RelAccX7,6492.900000000001
0 ms,RadarObj8,RelPosX8,4809.8
0 ms,RadarObj8,RelPosY8,-181.39999999999998
0 ms,RadarObj8,RelVelX8,6441.900000000001
0 ms,RadarObj8,RelAccX8,-46.4
0 ms,RadarObj9,RelPosX9,-190.0
0 ms,RadarObj9,RelPosY9,5420.700000000001
0 ms,RadarObj9,RelVelX9,6432.200000000001
0 ms,RadarObj9,RelAccX9,-49.4
0 ms,RadarObj10,RelPosX10,4748.3
0 ms,RadarObj10,RelPosY10,-301.5999999999999
0 ms,RadarObj10,RelVelX10,-23.39999999999999
0 ms,RadarObj10,RelAccX10,6486.1
100 ms,VehicleStatus,VehicleSpeed,10.35
100 ms,VehicleStatus,SteeringAngle,-5619.0
1 ms,VehicleAccel,LateralAccel,1.911
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-793.3
0 ms,RadarObj1,RelPosY1,4932.6
0 ms,RadarObj1,RelVelX1,6422.200000000001
0 ms,RadarObj1,RelAccX1,6497.200000000001
0 ms,RadarObj2,RelPosX2,5073.8
0 ms,RadarObj2,RelPosY2,5410.1
0 ms,RadarObj2,RelVelX2,-96.7
0 ms,RadarObj2,RelAccX2,6463.5
0 ms,RadarObj3,RelPosX3,-278.79999999999995
0 ms,RadarObj3,RelPosY3,-889.7
0 ms,RadarObj3,RelVelX3,-94.4
0 ms,RadarObj3,RelAccX3,6492.1
0 ms,RadarObj4,RelPosX4,4662.0
0 ms,RadarObj4,RelPosY4,5491.200000000001
0 ms,RadarObj4,RelVelX4,-65.0
0 ms,RadarObj4,RelAccX4,-12.699999999999996
1 ms,RadarObj5,RelPosX5,-545.3
1 ms,RadarObj5,RelPosY5,5223.6
1 ms,RadarObj5,RelVelX5,-9.899999999999991
1 ms,RadarObj5,RelAccX5,6468.6
0 ms,RadarObj6,RelPosX6,5038.8
0 ms,RadarObj6,RelPosY6,5024.1
0 ms,RadarObj6,RelVelX6,-29.299999999999997
0 ms,RadarObj6,RelAccX6,-14.799999999999997
0 ms,RadarObj7,RelPosX7,5254.0
0 ms,RadarObj7,RelPosY7,4577.6
0 ms,RadarObj7,RelVelX7,-92.1
0 ms,RadarObj7,RelAccX7,-14.100000000000001
0 ms,RadarObj8,RelPosX8,4939.400000000001
0 ms,RadarObj8,RelPosY8,-935.3
0 ms,RadarObj8,RelVelX8,-66.69999999999999
0 ms,RadarObj8,RelAccX8,-9.0
0 ms,RadarObj9,RelPosX9,-363.0999999999999
0 ms,RadarObj9,RelPosY9,-500.09999999999997
0 ms,RadarObj9,RelVelX9,-100.0
0 ms,RadarObj9,RelAccX9,6455.200000000001
0 ms,RadarObj10,RelPosX10,5493.900000000001
0 ms,RadarObj10,RelPosY10,-816.9
0 ms,RadarObj10,RelVelX10,6385.400000000001
0 ms,RadarObj10,RelAccX10,6462.900000000001
100 ms,VehicleStatus,VehicleSpeed,22.46
100 ms,VehicleStatus,SteeringAngle,-6570.2
0 ms,VehicleAccel,LateralAccel,61.891
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
1 ms,RadarObj1,RelPosX1,-913.2
1 ms,RadarObj1,RelPosY1,-532.4
1 ms,RadarObj1,RelVelX1,6371.1
1 ms,RadarObj1,RelAccX1,6481.1
0 ms,RadarObj2,RelPosX2,5512.400000000001
0 ms,RadarObj2,RelPosY2,-393.6
0 ms,RadarObj2,RelVelX2,-88.2
0 ms,RadarObj2,RelAccX2,-28.5
0 ms,RadarObj3,RelPosX3,5366.900000000001
0 ms,RadarObj3,RelPosY3,-863.6
0 ms,RadarObj3,RelVelX3,-57.599999999999994
0 ms,RadarObj3,RelAccX3,6500.700000000001
0 ms,RadarObj4,RelPosX4,-164.0999999999999
0 ms,RadarObj4,RelPosY4,-989.7
0 ms,RadarObj4,RelVelX4,-44.199999999999996
0 ms,RadarObj4,RelAccX4,-23.2
0 ms,RadarObj5,RelPosX5,-735.5999999999999
0 ms,RadarObj5,RelPosY5,5382.0
0 ms,RadarObj5,RelVelX5,6416.8
0 ms,RadarObj5,RelAccX5,-16.6
0 ms,RadarObj6,RelPosX6,4981.3
0 ms,RadarObj6,RelPosY6,-646.9
0 ms,RadarObj6,RelVelX6,6449.8
0 ms,RadarObj6,RelAccX6,6474.3
0 ms,RadarObj7,RelPosX7,-517.2
0 ms,RadarObj7,RelPosY7,5409.700000000001
0 ms,RadarObj7,RelVelX7,-23.0
0 ms,RadarObj7,RelAccX7,6486.8
0 ms,RadarObj8,RelPosX8,-931.9
0 ms,RadarObj8,RelPosY8,-520.5
0 ms,RadarObj8,RelVelX8,6384.3
0 ms,RadarObj8,RelAccX8,6459.5
0 ms,RadarObj9,RelPosX9,5421.200000000001
0 ms,RadarObj9,RelPosY9,-395.9
0 ms,RadarObj9,RelVelX9,6437.3
0 ms,RadarObj9,RelAccX9,-10.399999999999999
0 ms,RadarObj10,RelPosX10,4903.700000000001
0 ms,RadarObj10,RelPosY10,4908.700000000001
0 ms,RadarObj10,RelVelX10,6424.200000000001
0 ms,RadarObj10,RelAccX10,6488.400000000001
100 ms,VehicleStatus,VehicleSpeed,221.62
100 ms,VehicleStatus,SteeringAngle,-2014.0
0 ms,VehicleAccel,LateralAccel,59.748000000000005
0 ms,LaneInfo,LaneC0,0
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,-155.79999999999995
0 ms,RadarObj1,RelPosY1,-412.1
0 ms,RadarObj1,RelVelX1,6421.400000000001
0 ms,RadarObj1,RelAccX1,-15.899999999999999
1 ms,RadarObj2,RelPosX2,-348.5
1 ms,RadarObj2,RelPosY2,-590.5
1 ms,RadarObj2,RelVelX2,-19.19999999999999
1 ms,RadarObj2,RelAccX2,6474.0
0 ms,RadarObj3,RelPosX3,-765.6
0 ms,RadarObj3,RelPosY3,-999.0
0 ms,RadarObj3,RelVelX3,6432.5
0 ms,RadarObj3,RelAccX3,6495.400000000001
0 ms,RadarObj4,RelPosX4,4701.700000000001
0 ms,RadarObj4,RelPosY4,-533.8
0 ms,RadarObj4,RelVelX4,-94.8
0 ms,RadarObj4,RelAccX4,6488.0
0 ms,RadarObj5,RelPosX5,4875.0
0 ms,RadarObj5,RelPosY5,5080.3
0 ms,RadarObj5,RelVelX5,6400.8
0 ms,RadarObj5,RelAccX5,6493.8
0 ms,RadarObj6,RelPosX6,5407.700000000001
0 ms,RadarObj6,RelPosY6,-607.3
0 ms,RadarObj6,RelVelX6,6422.900000000001
0 ms,RadarObj6,RelAccX6,-33.8
0 ms,RadarObj7,RelPosX7,-560.5999999999999
0 ms,RadarObj7,RelPosY7,-329.4
0 ms,RadarObj7,RelVelX7,-15.799999999999997
0 ms,RadarObj7,RelAccX7,-24.299999999999997
0 ms,RadarObj8,RelPosX8,5000.0
0 ms,RadarObj8,RelPosY8,-175.89999999999998
0 ms,RadarObj8,RelVelX8,-31.200000000000003
0 ms,RadarObj8,RelAccX8,-20.599999999999998
0 ms,RadarObj9,RelPosX9,4602.0
0 ms,RadarObj9,RelPosY9,4797.200000000001
